user,text
clauteis,RT @tribelaw: Here’s @realDonaldTrump on preschool on legos #comedy #impressions #legos #DonaldTrump @nbcsnl https://t.co/5taLcwF72r
Emma_JeanStone,"Believe me when I tell you none of them are getting away, do not listen to anything #DonaldTrump says, he’s dead."
JacquieWells4,"RT @CupofJoeintheD2: @atrupar Hey #DopeyDon, you told the Right Wing Militia to Liberate #Michigan and your #WackaDoo cult following of the…"
ActivistBowen2,"seeking help from TERRORISTS...,reinforcing how DESPERATE he is (October 11, 2020; 21:49 HKT) #DONALDTRUMP #DRUMPF #TRUMP #FAIL"
ActivistBowen2,"update: RAW STORY: seeks help with this devastating polls numbers by scoring the TALIBAN vote (October 11, 2020; 21… https://t.co/nyEEoc5XqT"
bobdabolino01,RT @drboycewatkins1: #Biden supporters are saying that all 50 million #Trump supporters are going to kill #blackpeople.  #DonaldTrump suppo…
knitagran,"RT @derekjames150: Just think, if we had an MSM that did its job properly and held politicians to account for their crimes, #DonaldTrump an…"
BassFiddleLynn,RT @TheReal_NRP: Here’s @realDonaldTrump on preschool on legos #comedy #impressions #legos #DonaldTrump @nbcsnl https://t.co/jbz32O6xYH
sondraemerson12,RT @Harryslaststand: #DonaldTrump may no longer be contagious for #COVID__19 but he is still a super spreader for fascism and should be enc…
bobdabolino01,RT @drboycewatkins1: How the #DemocraticParty put #DonaldTrump in office - Dr Boyce Watkins https://t.co/CiqU4zcf5u
AnnJTerry,"RT @derekjames150: Just think, if we had an MSM that did its job properly and held politicians to account for their crimes, #DonaldTrump an…"
carrieme44,"RT @BetteMidler: THANK GOD!  We won't have to listen to the bag of hot, incessant wind that is #DonaldTrump as he interrupts a serious cand…"
windowtonews,"Trump campaign's new ad features Fauci - Window To News https://t.co/FltzboxQ0M   #Washington,#Covid,#DonaldTrump"
vitrolast,President Trump says he stopped taking medication for coronavirus https://t.co/Y2543Efuv1 #covid19 #donaldtrump
reinhardX,"@joncoopertweets well. #conley is a #chiropractor, how should he know - and #donaldtrump is a lying sociopath, he won't tell"
sirzachariasss,RT @drboycewatkins1: #Biden supporters are saying that all 50 million #Trump supporters are going to kill #blackpeople.  #DonaldTrump suppo…
mwernst5,RT @tribelaw: Here’s @realDonaldTrump on preschool on legos #comedy #impressions #legos #DonaldTrump @nbcsnl https://t.co/5taLcwF72r
MarkTheShaw,RT @tribelaw: Here’s @realDonaldTrump on preschool on legos #comedy #impressions #legos #DonaldTrump @nbcsnl https://t.co/5taLcwF72r
